id,created at,text,screen_names,followers_count,friends_count,name,lat,lon,place name,place type
1125480937771470848,Mon May 06 19:22:20 +0000 2019,"RT @TJ_Cobain: Flash Sale £35 With S10 :)

Site - https://t.co/3S4PUgEfwH

Vouches - #TJLegit

250RTS = x1 IKONIK + Emote Winner https://t.…",stephen82746438,4,4,stephen,,,,
1125480968092094470,Mon May 06 19:22:27 +0000 2019,@OtsoZuri__ Je croyais  que c'était le P30.Quand j'ai changé  de téléphone  le mois dernier elle m'a  dit que c'éta… https://t.co/BN6C36oS8p,senn890,108,400,Hygvar,,,,
1125480988547604480,Mon May 06 19:22:32 +0000 2019,"Grandes descuentos en iPhone XR, Huawei P30 Pro, Samsung Galaxy S10 y más: las mejores ofertas de Cazando Gangas… https://t.co/H2bOc2Zls0",tusmartphone,7795,7190,Tu Smartphone,,,,
1125481020772503552,Mon May 06 19:22:40 +0000 2019,RT @MischievousTone: Got the new galaxy s10 and its fuego,David29997375,0,3,David,,,,
1125481238670626816,Mon May 06 19:23:32 +0000 2019,RT @iannnnn: ใครใช้ S10 ก็ให้เลือกปลดล็อกหน้าจอด้วยวิธีอื่นเด้อ ปลดด้วยหน้าอันตราย https://t.co/Q6tHYPsh4W,FfonyN,30,76,ffony,,,,
1125481253392662529,Mon May 06 19:23:35 +0000 2019,iKONIK Skin &amp; SCENARIO Emote Fortnite Galaxy S10 Exclusive https://t.co/GcH4gPRhsm #fortnite #fortnitebattleroyale… https://t.co/uS5jers9c7,FortniteLaunch,625,518,Moon Walker,,,,
1125481349769461766,Mon May 06 19:23:58 +0000 2019,"RT @UniverseIce: I experienced the Galaxy S10 5G, a bigger screen, a bigger battery, and heavier. https://t.co/LvEJNBnmGV",Deonjos413729,25,386,Deon Jose Thomas,,,,
1125481458020360193,Mon May 06 19:24:24 +0000 2019,"$24.95 , | iOttie Easy One Touch 4 Dash &amp; Windshield Car Mount Phone Holder || iPhone Xs Max R 8 Plus 7 Samsung Gal… https://t.co/m1Nt8sXOhg",Dailydeals018,1163,4387,Dailydeals018,,,,
1125481470238298113,Mon May 06 19:24:27 +0000 2019,RT @nginx: Will you be at #AWSSummit London? We will! Meet us at booth S10 https://t.co/B7Xn7IawLl,RekaVeszeli,18,27,Reka Veszeli,,,,
1125481547480674304,Mon May 06 19:24:46 +0000 2019,"@pirmax @pressecitron Avec un telle faille de #sécurité, certainement un modèle à bannir et passé à un autre modèle… https://t.co/yXf8vhtyvA",hervmention,1574,1797,Hervé Mention,,,,
1125481548579364864,Mon May 06 19:24:46 +0000 2019,@carrieWUTWUT @vannenanne @TheWalkingDead Will Daryl help her deal with anything? Maybe this is a new Daryl in S10  ... lol,capfiles,143,1046,Cindy,,,,
1125481582431592448,Mon May 06 19:24:54 +0000 2019,"クリマイのケイト、早速降板か！展開早いな～。

とりあえずS10最終回、娘が無事で本当によかった。ドキドキした。めっちゃ怖い回だった。

ホッチ降板後のシーズンも早くみたい。

以上！",fumioxo,99,88,fufu@毒出しアカ,,,,
1125481740812709888,Mon May 06 19:25:32 +0000 2019,あの…最近悩みがあって…こんな話、プロデューサーさんにするのもおこがましいのですが… (「和菓子s10」左の「」内のワードをコピーペーストして返信してください) #ip_miyu_mifune ver.1.1 s10,mifunesan_bot,84,1,三船美優(bot),,,,
1125481839618080769,Mon May 06 19:25:55 +0000 2019,If I could have iMessage on an S10 I’d have an S10. 🤷🏻‍♂️,AJRYAN95,245,534,AJ,,,,
1125481939761278976,Mon May 06 19:26:19 +0000 2019,"Activate a new line of service with sprint and get the S10e for $15 a month, S10 $20 a month, or S10+ for $25 a mon… https://t.co/W0V0SK2IWw",sprintiselin,5,92,Sprintiselin,,,,
1125481948061691904,Mon May 06 19:26:21 +0000 2019,#ฐาปนีขอบ่น คือมึงช่วยเลิกด่าคนใช้แอนดรอยด์ว่าจนดิ๊ คือกูไม่เข้าใจใช้ไอโฟนมันก้ไม่ได้แปลว่ามึงจะรวยกว่ากูซะหน่อย ใ… https://t.co/rrVe8OHt0b,mariahknowme,24,112,𝐒𝐤𝐢𝐧𝐧𝐲𝐁𝐢𝐭𝐜𝐡 𝟑.𝟖 #𝐌𝐀𝐋𝐔𝐌𝐀,,,,
